Frequency Merging-Normal Merging-Umklapp Splitting-Normal Splitting-Umklapp Total_DOS
1.3213213213213213 18.58873213914789 35.101150731444626 0.0 0.0 53.6898828705928
1.3413413413413413 20.562099917713006 38.34848447477688 0.0 0.0 58.91058439248978
1.3613613613613613 22.927633780168193 42.42650034513416 0.0 0.0 65.35413412530244
1.3813813813813813 25.750597203456792 47.45821575336484 0.0 0.0 73.20881295682194
1.4014014014014013 29.089463495787953 53.55946054330089 0.0 0.0 82.64892403908854
1.4214214214214214 32.991473336690085 60.831003155317 0.0 0.0 93.82247649200761
1.4414414414414414 37.4884467975473 69.35006368758975 0.0 0.0 106.83851048513687
1.4614614614614614 42.593010261389296 79.16152360866373 0.0 0.0 121.75453387005304
1.4814814814814814 48.295357065739424 90.26921812614886 0.0 0.0 138.5645751918885
1.5015015015015014 54.56063878065883 102.62779893845762 0.0 0.0 157.1884377191168
